Local,Puntos,Visitante,year
Denmark ,Denmark , France,2018
Australia ,Australia , Peru,2018
Argentina ,Argentina , Iceland,2018
Croatia ,Croatia , Nigeria,2018
Argentina ,Argentina , Croatia,2018
Nigeria ,Nigeria , Iceland,2018
Nigeria ,Nigeria , Argentina,2018
Iceland ,Iceland , Croatia,2018
Costa Rica ,Costa Rica , Serbia,2018
Brazil ,Brazil ,  Switzerland,2018
Brazil ,Brazil , Costa Rica,2018
Serbia ,Serbia ,  Switzerland,2018
Serbia ,Serbia , Brazil,2018
Switzerland ,Switzerland , Costa Rica,2018
Germany ,Germany , Mexico,2018
Sweden ,Sweden , South Korea,2018
South Korea ,South Korea , Mexico,2018
Germany ,Germany , Sweden,2018
South Korea ,South Korea , Germany,2018
Mexico ,Mexico , Sweden,2018
Belgium ,Belgium , Panama,2018
Tunisia ,Tunisia , England,2018
Belgium ,Belgium , Tunisia,2018
England ,England , Panama,2018
England ,England , Belgium,2018
Panama ,Panama , Tunisia,2018
Colombia ,Colombia , Japan,2018
Poland ,Poland , Senegal,2018
Japan ,Japan , Senegal,2018
Poland ,Poland , Colombia,2018
Japan ,Japan , Poland,2018
Senegal ,Senegal , Colombia,2018
France ,France , Argentina,2018
Uruguay ,Uruguay , Portugal,2018
Spain ,Spain , Russia,2018
Croatia ,Croatia , Denmark,2018
Brazil ,Brazil , Mexico,2018
Belgium ,Belgium , Japan,2018
Sweden ,Sweden ,  Switzerland,2018
Colombia ,Colombia , England,2018
Uruguay ,Uruguay , France,2018
Brazil ,Brazil , Belgium,2018
Sweden ,Sweden , England,2018
Russia ,Russia , Croatia,2018
France ,France , Belgium,2018
Croatia ,Croatia , England,2018
Belgium ,Belgium , England,2018
France ,France , Croatia,2018
